"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1863","Dose Of Colors","Meet Your Hue Foundation","Fair","107",0.831372549019608,"#F5D0B3",TRUE,107,103
"1864","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Ivory Beige","107.5",0.63921568627451,"#CAA17C",TRUE,107.5,90
"1865","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Carmel Beige","108",0.46078431372549,"#BA7731",TRUE,108,90
"1866","Dose Of Colors","Meet Your Hue Foundation","Light","108",0.813725490196078,"#F2CDAD",TRUE,108,103
"1867","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Honey Bisque","108.5",0.613725490196078,"#D3A166",TRUE,108.5,90
"1868","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Classic Tan","109",0.498039215686275,"#C2743C",TRUE,109,90
"1869","Dose Of Colors","Meet Your Hue Foundation","Light","109",0.803921568627451,"#F0D0AA",TRUE,109,103
"1870","Anastasia Beverly Hills","Luminous Foundation",NA,"110C",0.9,"#F0E7DB",TRUE,110,91
"1871","KVD Vegan Beauty","Lock-It Powder Foundation","Fair","110",0.792156862745098,"#D9C2BB",TRUE,110,108
"1872","KVD Vegan Beauty","Lock-It Powder Foundation Refills","Fair","110",0.801960784313726,"#DAC5BF",TRUE,110,109
"1873","Lancôme","Teint Idole Ultra Longwear Foundation Stick SPF 21","Ivoire C","110",0.72156862745098,"#E0B390",TRUE,110,110
"1874","Revlon","ColorStay Makeup For Combo/Oily Skin","Ivory","110",0.825490196078431,"#F9CAAC",TRUE,110,111
"1875","Maybelline","Fit Me Matte + Poreless Liquid Foundation","Porcelain","110",0.927450980392157,"#FEEDDB",TRUE,110,104
"1876","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Creme Cafe","110",0.609803921568628,"#DB965C",TRUE,110,90
"1877","Revlon","ColorStay Makeup For Normal/Dry Skin","Ivory","110",0.825490196078431,"#F9CAAC",TRUE,110,112
"1878","Revlon","ColorStay Full Cover Foundation","Ivory","110",0.909803921568627,"#FEE3D2",TRUE,110,113
"1879","Maybelline","Super Stay Full Coverage Foundation","Porcelain","110",0.805882352941176,"#E8CEB3",TRUE,110,105
"1880","Lancôme","Teint Idole Ultra Wear 24H Long Wear Foundation","Ivoire C","110",0.717647058823529,"#DEB390",TRUE,110,88
"1881","Juvia's Place","I Am Magic Foundation","Senegal","110",0.249019607843137,"#54332B",FALSE,110,93
"1882","florence by mills","Like a Light Skin Tint",NA,"MT110",0.57843137254902,"#C18766",TRUE,110,77
"1883","Lancôme","Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27","Ivoire C","110",0.676470588235294,"#D3AD86",TRUE,110,89
"1884","ColourPop","Pretty Fresh Foundation","Medium","110W",0.680392156862745,"#D4AE87",TRUE,110,65
"1885","Revlon","ColorStay Light Cover Liquid Foundation","Ivory","110",0.743137254901961,"#E7B094",TRUE,110,114
"1886","Almay","Skin Perfecting Healthy Biome Makeup","Light","110",0.666666666666667,"#D8B07C",TRUE,110,94
"1887","ZOEVA","Authentik Skin Natural Luminous Foundation","Creative","110N",0.725490196078431,"#E2B590",TRUE,110,78
"1888","Essence","Pretty Natural Hydrating Foundation","Cool Beige","110",0.449019607843137,"#A86E3D",TRUE,110,79
"1889","Exa","High Fidelity Foundation","Fazon","110",0.272549019607843,"#5B3930",FALSE,110,115
